MACB,SBDI,SBDEN,GIODI,GIODEN
100,"Tan Son Nhat International Airport, SGN","Cat Bi International Airport, HPH",8:00,17:59
112,"Noi Bai International Airport, HAN","Tan Son Nhat International Airport, SGN",14:00,18:07
121,"Da Nang International Airport, DAD","Chu Lai International Airport, VCL",7:00,9:13
122,"Cam Ranh International Airport, CXR","Con Dao Airport, VCS",8:30,10:19
206,"Phu Quoc International Airport, PQC","Dien Bien Phu Airport, DIN",9:00,11:40
330,"Cat Bi International Airport, HPH","Dong Hoi Airport, VDH",16:00,18:53
334,"Lien Khuong Airport, DLI","Pleiku Airport, PXU",12:00,14:14
335,"Can Tho International Airport, VCA","Rach Gia Airport, VKG",15:00,17:14
336,"Phu Bai International Airport, HUI","Tuy Hoa Airport, TBB",18:00,20:14
337,"Buon Ma Thuot Airport, BMV","Noi Bai International Airport, HAN",20:30,23:53
394,"Chu Lai International Airport, VCL","Da Nang International Airport, DAD",19:00,21:30
395,"Con Dao Airport, VCS","Cam Ranh International Airport, CXR",21:00,23:43
449,"Dien Bien Phu Airport, DIN","Phu Quoc International Airport, PQC",10:00,19:29
930,"Dong Hoi Airport, VDH","Cat Bi International Airport, HPH",13:00,16:10
931,"Pleiku Airport, PXU","Lien Khuong Airport, DLI",17:00,18:10
932,"Rach Gia Airport, VKG","Can Tho International Airport, VCA",18:00,19:10
991,"Tuy Hoa Airport, TBB","Phu Bai International Airport, HUI",17:00,18:22
